,molecule_chembl_id,units,IC50,smiles,pIC50
0,CHEMBL3701767,nM,0.26,CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5cc(ccc5OCn4c3c6ccccc6)C(=O)N,9.585026652029182
1,CHEMBL3701740,nM,0.27,COc1cc(OC)c2c(OCn3c2nc(c4ccc(cc4)C5(N)CC(O)(C5)C6CC6)c3c7ccccc7)c1,9.568636235841012
2,CHEMBL3701766,nM,0.28,CNC(=O)c1ccc2OCn3c(nc(c4ccc(cc4)C5(N)CC(C)(O)C5)c3c6ccccc6)c2c1,9.55284196865778
3,CHEMBL3701717,nM,0.29,NC1(CC(O)(C1)C2CC2)c3ccc(cc3)c4nc5c6c(F)cccc6OCn5c4c7ccccc7,9.537602002101044
4,CHEMBL3701737,nM,0.3,NC1(CC(O)(C1)C2CC2)c3ccc(cc3)c4nc5c6c(Cl)cccc6OCn5c4c7ccccc7,9.522878745280337
5,CHEMBL3701769,nM,0.31,CCNC(=O)c1ccc2OCn3c(nc(c4ccc(cc4)C5(N)CC(C)(O)C5)c3c6ccccc6)c2c1,9.508638306165727
6,CHEMBL3701762,nM,0.32,CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5cc(ccc5OCn4c3c6ccccc6)c7ccn[nH]7,9.494850021680094
7,CHEMBL3701776,nM,0.4,CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5ccc(cc5OCn4c3c6ccccc6)C(=O)N,9.397940008672037
8,CHEMBL3701775,nM,0.4,CCONC(=O)c1ccc2OCn3c(nc(c4ccc(cc4)C5(N)CC(C)(O)C5)c3c6ccccc6)c2c1,9.397940008672037
9,CHEMBL3701763,nM,0.42,CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5cc(ccc5OCn4c3c6ccccc6)c7cn[nH]c7,9.3767507096021
10,CHEMBL3701749,nM,0.48,NC1(CC(O)(C1)C2CC2)c3ccc(cc3)c4nc5c6ccncc6OCn5c4c7ccccc7,9.318758762624412
11,CHEMBL3701770,nM,0.49,CNC(=O)c1ccc2c(OCn3c2nc(c4ccc(cc4)C5(N)CC(C)(O)C5)c3c6ccccc6)c1,9.309803919971486
12,CHEMBL3701718,nM,0.5,CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5c(F)cccc5OCn4c3c6ccccc6,9.301029995663981
