;molecule_chembl_id;units;IC50;smiles;pIC50;MW;HBA;HBD;LogP;rule_of_five_conform
0;CHEMBL3701767;nM;0.26;CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5cc(ccc5OCn4c3c6ccccc6)C(=O)N;9.585026652029182;466.20049069199996;6;3;4.0317000000000025;yes
2;CHEMBL3701766;nM;0.28;CNC(=O)c1ccc2OCn3c(nc(c4ccc(cc4)C5(N)CC(C)(O)C5)c3c6ccccc6)c2c1;9.55284196865778;480.21614075599996;6;3;4.292400000000003;yes
3;CHEMBL3701717;nM;0.29;NC1(CC(O)(C1)C2CC2)c3ccc(cc3)c4nc5c6c(F)cccc6OCn5c4c7ccccc7;9.537602002101043;467.20090529199996;5;2;5.462000000000004;yes
4;CHEMBL3701737;nM;0.3;NC1(CC(O)(C1)C2CC2)c3ccc(cc3)c4nc5c6c(Cl)cccc6OCn5c4c7ccccc7;9.522878745280336;483.171354752;5;2;5.976300000000005;yes
5;CHEMBL3701769;nM;0.31;CCNC(=O)c1ccc2OCn3c(nc(c4ccc(cc4)C5(N)CC(C)(O)C5)c3c6ccccc6)c2c1;9.508638306165727;494.23179081999996;6;3;4.682500000000004;yes
6;CHEMBL3701762;nM;0.32;CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5cc(ccc5OCn4c3c6ccccc6)c7ccn[nH]7;9.494850021680094;489.21647510400004;6;3;5.322900000000004;yes
7;CHEMBL3701776;nM;0.4;CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5ccc(cc5OCn4c3c6ccccc6)C(=O)N;9.397940008672037;466.20049069199996;6;3;4.0317000000000025;yes
8;CHEMBL3701775;nM;0.4;CCONC(=O)c1ccc2OCn3c(nc(c4ccc(cc4)C5(N)CC(C)(O)C5)c3c6ccccc6)c2c1;9.397940008672037;510.22670544;7;3;4.614100000000003;yes
9;CHEMBL3701763;nM;0.42;CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5cc(ccc5OCn4c3c6ccccc6)c7cn[nH]c7;9.3767507096021;489.21647510400004;6;3;5.322900000000004;yes
10;CHEMBL3701749;nM;0.48;NC1(CC(O)(C1)C2CC2)c3ccc(cc3)c4nc5c6ccncc6OCn5c4c7ccccc7;9.318758762624412;450.205576072;6;2;4.717900000000004;yes
